CustomerID,Recency,Frequency,Monetary,Cluster,Segmen
12429,9,8,6204.41,2,Champions
12430,43,1,256.4,1,Promising/New Active
12431,36,27,10432.22,2,Champions
12432,43,5,5059.32,3,At Risk
12433,1,10,16794.14,2,Champions
12434,85,3,1103.43,3,At Risk
12435,80,6,13925.93,2,Champions
12436,100,1,509.01,0,Lost/Churned
12437,2,39,12683.4,2,Champions
12438,14,2,2906.85,1,Promising/New Active
12439,683,2,1142.88,3,At Risk
12440,462,2,859.2,0,Lost/Churned
12441,367,1,173.55,0,Lost/Churned
12442,3,1,172.06,1,Promising/New Active
12443,732,1,485.31,0,Lost/Churned
12444,21,5,5005.46,2,Champions
12445,22,2,434.98,1,Promising/New Active
12446,58,1,1002.31,1,Promising/New Active
12447,243,1,476.49,0,Lost/Churned
12448,44,1,449.45,1,Promising/New Active
12449,22,6,4835.89,2,Champions
12450,156,5,688.2,3,At Risk
12451,11,8,12669.88,2,Champions
12452,17,2,430.57,1,Promising/New Active
12453,134,1,707.09,0,Lost/Churned
12454,56,5,16679.78,2,Champions
12455,73,10,5879.95,2,Champions
12456,44,3,3181.04,3,At Risk
12457,66,8,2995.91,3,At Risk
12458,71,4,1777.49,3,At Risk
12459,605,1,454.36,0,Lost/Churned
12460,456,1,326.65,0,Lost/Churned
12461,94,2,826.88,3,At Risk
12462,19,2,1189.59,1,Promising/New Active
12463,53,4,1344.78,3,At Risk
12464,10,8,1212.05,1,Promising/New Active
12465,17,2,742.1899999999999,1,Promising/New Active
12466,682,1,56.73,0,Lost/Churned
12467,423,1,132.8,0,Lost/Churned
12468,188,5,3670.74,3,At Risk
12469,523,2,3070.54,3,At Risk
12470,690,1,211.95,0,Lost/Churned
12471,2,79,39918.19,2,Champions
12472,32,19,16249.29,2,Champions
12473,29,5,3928.05,2,Champions
12474,17,31,12372.75,2,Champions
12475,54,2,1149.64,1,Promising/New Active
12476,16,23,14083.91,2,Champions
12477,23,9,20276.37,2,Champions
12478,4,1,680.99,1,Promising/New Active
12479,11,1,527.2,1,Promising/New Active
12480,28,7,5464.85,2,Champions
12481,23,15,12185.51,2,Champions
12482,576,29,23691.4,2,Champions
12483,17,19,5097.18,2,Champions
12484,33,12,6354.1,2,Champions
12485,529,1,708.1,0,Lost/Churned
12486,432,1,1037.28,0,Lost/Churned
12487,731,1,285.29999999999995,0,Lost/Churned
12488,10,3,1298.66,1,Promising/New Active
12489,336,1,334.93,0,Lost/Churned
12490,5,21,9823.64,2,Champions
12491,39,1,460.4,1,Promising/New Active
12492,63,3,715.21,1,Promising/New Active
12493,166,2,433.74,0,Lost/Churned
12494,16,9,1815.27,2,Champions
12495,641,1,357.4,0,Lost/Churned
12496,620,2,45.34,0,Lost/Churned
12497,82,3,6248.5,3,At Risk
12498,21,3,403.7000000000001,1,Promising/New Active
12499,560,1,393.72,0,Lost/Churned
12500,23,19,5955.21,2,Champions
12501,337,1,2169.39,3,At Risk
12502,96,5,3723.87,3,At Risk
12503,584,1,1126.0,0,Lost/Churned
12504,18,4,779.05,1,Promising/New Active
12505,409,1,955.2,0,Lost/Churned
12506,233,1,73.5,0,Lost/Churned
12507,134,4,1844.06,3,At Risk
12508,26,2,397.88,1,Promising/New Active
12509,284,1,176.5,0,Lost/Churned
12510,143,9,5178.02,3,At Risk
12511,429,1,3084.02,3,At Risk
12512,66,2,132.18,0,Lost/Churned
12513,113,1,612.29,0,Lost/Churned
12514,267,2,1597.76,3,At Risk
12515,353,1,383.7,0,Lost/Churned
12516,78,4,2648.62,3,At Risk
12517,28,5,2481.6,1,Promising/New Active
12518,1,5,2056.89,1,Promising/New Active
12519,64,2,716.54,1,Promising/New Active
12520,79,5,2634.26,3,At Risk
12521,143,1,599.68,0,Lost/Churned
12522,39,2,192.72,1,Promising/New Active
12523,19,23,4352.35,2,Champions
12524,9,17,11126.11,2,Champions
12525,498,3,973.73,3,At Risk
12526,1,3,1316.66,1,Promising/New Active
12527,82,5,735.51,3,At Risk
12528,9,6,1933.48,1,Promising/New Active
12529,528,1,316.48,0,Lost/Churned
12530,60,9,3759.26,2,Champions
12531,15,2,1933.2,1,Promising/New Active
12532,30,1,349.83000000000004,1,Promising/New Active
12533,628,2,1367.89,3,At Risk
12534,131,1,1089.18,0,Lost/Churned
12535,92,2,716.35,1,Promising/New Active
12536,43,3,12601.830000000002,3,At Risk
12537,409,1,732.94,0,Lost/Churned
12538,29,2,640.45,1,Promising/New Active
12539,22,7,11214.75,2,Champions
12540,20,33,22254.49,2,Champions
12541,30,3,981.18,1,Promising/New Active
12542,484,2,481.88,0,Lost/Churned
12543,448,1,980.25,0,Lost/Churned
12544,36,1,372.7,1,Promising/New Active
12545,75,2,1000.39,1,Promising/New Active
12546,47,2,1161.5,1,Promising/New Active
12547,198,3,383.58,0,Lost/Churned
12548,166,1,95.2,0,Lost/Churned
12549,576,6,1575.68,3,At Risk
12550,79,1,964.83,1,Promising/New Active
12551,358,1,168.0,0,Lost/Churned
12552,39,2,437.82,1,Promising/New Active
12553,8,12,4608.75,2,Champions
12554,449,1,468.5,0,Lost/Churned
12555,682,1,129.23,0,Lost/Churned
12556,50,2,599.56,1,Promising/New Active
12557,16,8,18096.14,2,Champions
12558,8,1,269.96,1,Promising/New Active
12559,311,2,561.71,0,Lost/Churned
12560,5,3,2134.01,1,Promising/New Active
12561,303,1,238.85,0,Lost/Churned
12562,8,9,4966.92,2,Champions
12563,409,1,249.24,0,Lost/Churned
12564,261,1,456.9,0,Lost/Churned
12565,289,1,145.92,0,Lost/Churned
12566,86,1,351.65,0,Lost/Churned
12567,23,15,11767.48,2,Champions
12568,645,1,70.0,0,Lost/Churned
12569,2,32,4124.69,2,Champions
12570,682,1,77.52,0,Lost/Churned
12571,40,2,519.61,1,Promising/New Active
12572,9,2,1020.42,1,Promising/New Active
12573,227,5,717.41,3,At Risk
12574,316,1,218.45,0,Lost/Churned
12575,457,2,622.8199999999999,0,Lost/Churned
12576,36,8,2142.72,2,Champions
12577,35,8,1617.1,3,At Risk
12578,21,4,4642.45,1,Promising/New Active
12579,78,1,440.42,0,Lost/Churned
12580,247,2,1052.9,3,At Risk
12581,40,1,197.71,1,Promising/New Active
12582,239,4,1980.4,3,At Risk
12583,3,27,13591.58,2,Champions
12584,4,9,2338.15,2,Champions
12585,234,2,2040.1,3,At Risk
12586,17,4,2062.67,1,Promising/New Active
12587,8,1,144.0,1,Promising/New Active
12588,39,4,958.78,1,Promising/New Active
12589,29,8,4695.66,2,Champions
12590,211,2,9864.26,3,At Risk
12591,317,3,1338.95,3,At Risk
12592,92,5,2582.66,3,At Risk
12593,109,3,418.1,0,Lost/Churned
12594,38,15,5090.110000000001,2,Champions
12595,505,1,299.02,0,Lost/Churned
12596,51,2,618.27,1,Promising/New Active
12597,19,4,3811.22,1,Promising/New Active
12598,10,11,4534.09,2,Champions
12599,29,13,2296.72,2,Champions
12600,29,21,4967.42,2,Champions
12601,190,6,681.26,3,At Risk
12602,59,1,153.12,0,Lost/Churned
12603,22,1,739.1999999999999,1,Promising/New Active
12604,79,2,254.18,0,Lost/Churned
12605,376,4,1232.95,3,At Risk
12606,682,1,21.0,0,Lost/Churned
12607,60,1,1579.51,1,Promising/New Active
12608,405,1,415.79,0,Lost/Churned
12609,78,9,3435.86,3,At Risk
12610,23,5,2099.54,1,Promising/New Active
12611,52,1,1193.32,1,Promising/New Active
12612,74,1,704.0400000000001,1,Promising/New Active
12613,57,10,6817.37,2,Champions
12614,278,1,315.6,0,Lost/Churned
12615,2,8,5740.98,2,Champions
12616,95,3,1131.1,3,At Risk
12617,29,1,352.98,1,Promising/New Active
12618,22,1,177.31,1,Promising/New Active
12619,16,10,3781.38,2,Champions
12620,15,3,1339.41,1,Promising/New Active
12621,2,35,24311.2,2,Champions
12622,232,1,180.1,0,Lost/Churned
12623,276,7,3747.84,3,At Risk
12624,106,2,641.13,3,At Risk
12625,212,4,5164.88,3,At Risk
12626,23,9,6620.48,2,Champions
12627,11,7,4478.53,2,Champions
12628,4,3,786.46,1,Promising/New Active
12629,386,2,1558.22,3,At Risk
12630,10,2,1270.88,1,Promising/New Active
12631,57,6,3481.57,3,At Risk
12632,521,2,804.88,0,Lost/Churned
12633,59,7,5678.16,2,Champions
12634,536,2,490.0,0,Lost/Churned
12635,90,4,2930.41,3,At Risk
12636,739,1,141.0,0,Lost/Churned
12637,67,12,8283.81,2,Champions
12638,33,2,921.49,1,Promising/New Active
12639,239,3,1312.37,3,At Risk
12640,24,3,1174.58,1,Promising/New Active
12641,115,1,185.9,0,Lost/Churned
12642,25,3,1013.26,1,Promising/New Active
12643,128,12,8304.82,2,Champions
12644,130,4,1918.49,3,At Risk
12645,34,8,3539.3,2,Champions
12646,5,2,1346.97,1,Promising/New Active
12647,22,36,16955.55,2,Champions
12648,155,4,1112.0,3,At Risk
12649,107,8,2294.65,3,At Risk
12650,3,1,314.44,1,Promising/New Active
12651,335,4,377.75,0,Lost/Churned
12652,331,2,1017.03,3,At Risk
12653,149,3,4160.83,3,At Risk
12654,11,5,601.98,1,Promising/New Active
12655,424,1,261.35,0,Lost/Churned
12656,17,8,6407.83,2,Champions
12657,11,4,1643.18,1,Promising/New Active
12658,19,1,686.05,1,Promising/New Active
12659,30,1,91.68,1,Promising/New Active
12660,11,1,245.1,1,Promising/New Active
12661,436,1,162.0,0,Lost/Churned
12662,1,20,6726.54,2,Champions
12663,625,2,239.4,0,Lost/Churned
12664,8,11,6070.04,2,Champions
12665,325,3,313.6,0,Lost/Churned
12666,394,1,1248.42,0,Lost/Churned
12667,58,1,620.13,1,Promising/New Active
12668,12,10,11383.03,2,Champions
12669,151,3,2744.03,3,At Risk
12670,10,7,3760.29,2,Champions
12671,606,1,2622.481,3,At Risk
12672,330,2,437.05,0,Lost/Churned
12673,5,3,1230.02,1,Promising/New Active
12674,39,4,1970.6,1,Promising/New Active
12675,554,2,957.25,0,Lost/Churned
12676,25,11,2843.09,2,Champions
12677,555,2,395.1,0,Lost/Churned
12678,42,21,34281.18,2,Champions
12679,59,4,1113.02,3,At Risk
12680,1,4,880.81,1,Promising/New Active
12681,15,45,29834.76,2,Champions
12682,4,52,22950.22,2,Champions
12683,4,21,11633.7,2,Champions
12684,8,7,2283.63,2,Champions
12685,28,6,2863.08,2,Champions
12686,372,1,89.14,0,Lost/Churned
12687,481,2,2138.91,3,At Risk
12688,114,1,4873.81,3,At Risk
12689,26,2,1247.61,1,Promising/New Active
12690,206,1,389.01,0,Lost/Churned
12691,28,7,1170.4,1,Promising/New Active
12692,637,1,110.95,0,Lost/Churned
12693,127,7,1703.02,3,At Risk
12694,70,3,1843.35,3,At Risk
12695,7,7,1407.12,1,Promising/New Active
12696,435,2,851.91,0,Lost/Churned
12697,29,3,957.59,1,Promising/New Active
12698,590,1,339.75,0,Lost/Churned
12699,418,1,638.11,0,Lost/Churned
12700,8,4,4939.99,2,Champions
12701,80,6,2446.41,3,At Risk
12702,20,1,219.0,1,Promising/New Active
12703,71,4,1006.53,3,At Risk
12704,7,8,2340.84,2,Champions
12705,15,14,11762.1,2,Champions
12707,292,1,603.42,0,Lost/Churned
12708,30,18,5117.66,2,Champions
12709,15,34,30291.76,2,Champions
12710,97,3,1149.02,3,At Risk
12711,612,2,1339.05,3,At Risk
12712,29,21,6723.03,2,Champions
12713,1,1,848.55,1,Promising/New Active
12714,9,12,14093.71,2,Champions
12715,106,1,343.36,0,Lost/Churned
12716,4,2,1053.49,1,Promising/New Active
12717,151,3,1308.91,3,At Risk
12718,71,1,238.25,0,Lost/Churned
12719,5,2,644.95,1,Promising/New Active
12720,3,30,7787.28,2,Champions
12721,32,8,4013.08,2,Champions
12722,85,4,997.63,3,At Risk
12723,4,5,725.07,1,Promising/New Active
12724,5,7,2317.52,2,Champions
12725,371,4,2266.76,3,At Risk
12726,28,11,4014.6,2,Champions
12727,11,10,5679.53,2,Champions
12728,71,5,1070.17,3,At Risk
12729,114,1,453.01,0,Lost/Churned
12730,522,1,829.25,0,Lost/Churned
12731,24,17,25775.71,2,Champions
12732,180,1,236.26,0,Lost/Churned
12733,234,4,2424.87,3,At Risk
12734,353,3,639.65,3,At Risk
12735,315,2,779.5699999999999,0,Lost/Churned
12736,333,1,234.0,0,Lost/Churned
12737,499,2,3710.5,3,At Risk
12738,372,1,155.35,0,Lost/Churned
12739,78,4,2726.73,3,At Risk
12740,64,1,427.6,1,Promising/New Active
12741,529,2,406.07,0,Lost/Churned
12742,626,1,1201.52,0,Lost/Churned
12743,134,2,540.13,0,Lost/Churned
12744,52,11,25317.06,2,Champions
12745,487,3,925.41,3,At Risk
12746,541,1,254.55,0,Lost/Churned
12747,2,26,8898.48,2,Champions
12748,1,336,53539.64,2,Champions
12749,4,9,6897.36,2,Champions
12750,129,1,275.88,0,Lost/Churned
12751,445,1,268.27,0,Lost/Churned
12752,81,1,4366.78,3,At Risk
12753,23,6,21429.39,2,Champions
12754,236,3,3010.74,3,At Risk
12755,281,11,5236.259999999999,3,At Risk
12756,87,1,112.07999999999998,0,Lost/Churned
12757,16,13,7834.650000000001,2,Champions
12758,117,7,9903.24,3,At Risk
12759,52,8,5020.74,2,Champions
12760,456,1,347.8,0,Lost/Churned
12761,458,2,782.95,0,Lost/Churned
12762,8,2,1898.52,1,Promising/New Active
12763,138,2,494.08,0,Lost/Churned
12764,317,1,1693.88,3,At Risk
12765,472,6,1404.58,3,At Risk
12766,4,9,8918.99,2,Champions
12767,376,1,949.82,0,Lost/Churned
12768,451,1,168.69000000000003,0,Lost/Churned
12769,239,1,1143.6,0,Lost/Churned
12770,211,2,3246.45,3,At Risk
12771,486,1,282.3,0,Lost/Churned
12772,60,1,892.47,1,Promising/New Active
12773,564,1,124.25,0,Lost/Churned
12774,536,1,98.7,0,Lost/Churned
12775,17,7,1686.12,1,Promising/New Active
12776,668,1,55.5,0,Lost/Churned
12777,458,1,519.45,0,Lost/Churned
12778,20,9,1775.68,2,Champions
12779,38,14,6474.11,2,Champions
12780,599,1,337.4,0,Lost/Churned
12781,64,2,826.74,1,Promising/New Active
12782,5,11,4618.24,2,Champions
12783,2,6,2225.91,2,Champions
12784,9,3,1763.15,1,Promising/New Active
12785,364,3,1100.4,3,At Risk
12786,610,1,728.5,0,Lost/Churned
12787,10,4,862.18,1,Promising/New Active
12788,463,4,444.9,0,Lost/Churned
12789,65,3,273.35,1,Promising/New Active
12790,192,2,591.85,0,Lost/Churned
12791,374,6,863.51,3,At Risk
12792,257,2,827.01,3,At Risk
12793,335,3,885.53,3,At Risk
12794,53,2,860.41,1,Promising/New Active
12795,19,1,430.48,1,Promising/New Active
12796,628,1,381.0,0,Lost/Churned
12797,366,2,552.08,0,Lost/Churned
12798,10,4,8510.93,2,Champions
12799,529,1,219.35,0,Lost/Churned
12800,470,3,584.25,0,Lost/Churned
12801,501,1,1071.82,0,Lost/Churned
12802,187,7,2416.42,3,At Risk
12803,393,1,1092.81,0,Lost/Churned
12804,466,2,325.37,0,Lost/Churned
12805,382,4,1434.95,3,At Risk
12806,435,4,2878.96,3,At Risk
12807,383,1,330.35,0,Lost/Churned
12808,37,5,776.7,1,Promising/New Active
12809,178,3,1755.94,3,At Risk
12810,535,2,534.99,0,Lost/Churned
12811,261,5,1033.9,3,At Risk
12812,45,1,229.64,1,Promising/New Active
12813,502,3,1687.8,3,At Risk
12814,102,1,125.92,0,Lost/Churned
12815,148,2,1063.46,3,At Risk
12816,96,2,572.2,1,Promising/New Active
12817,281,3,690.98,3,At Risk
12818,262,1,1542.08,3,At Risk
12819,458,1,540.52,0,Lost/Churned
12820,3,11,2689.52,2,Champions
12821,214,2,220.8,0,Lost/Churned
12822,71,2,948.88,1,Promising/New Active
12823,75,18,6501.5,2,Champions
12824,60,1,397.12,1,Promising/New Active
12825,521,2,518.63,0,Lost/Churned
12826,3,12,2800.75,2,Champions
12827,6,3,430.15,1,Promising/New Active
12828,3,6,1018.71,1,Promising/New Active
12829,337,3,385.3,0,Lost/Churned
12830,38,6,6814.64,2,Champions
12831,262,3,451.11,0,Lost/Churned
12832,32,2,383.03,1,Promising/New Active
12833,145,1,417.38,0,Lost/Churned
12834,283,1,312.38,0,Lost/Churned
12835,428,41,5996.83,2,Champions
12836,59,15,6559.7300000000005,2,Champions
12837,173,2,662.66,0,Lost/Churned
12838,34,10,2975.91,2,Champions
12839,3,26,9669.12,2,Champions
12840,144,7,4041.97,3,At Risk
12841,5,40,6958.2,2,Champions
12842,70,4,1917.99,3,At Risk
12843,66,30,6583.36,2,Champions
12844,29,4,648.6,1,Promising/New Active
12845,267,4,354.09,0,Lost/Churned
12846,682,1,15.58,0,Lost/Churned
12847,22,2,1609.0,1,Promising/New Active
12848,676,1,208.0,0,Lost/Churned
12849,31,6,3042.47,2,Champions
12850,446,1,330.0,0,Lost/Churned
12851,97,2,280.76,0,Lost/Churned
12852,295,1,311.55,0,Lost/Churned
12853,135,11,3907.5,3,At Risk
12854,79,7,2970.9700000000003,3,At Risk
12855,373,4,612.84,3,At Risk
12856,8,6,2170.78,1,Promising/New Active
12857,211,6,3688.0,3,At Risk
12858,383,1,147.27,0,Lost/Churned
12859,459,1,575.1,0,Lost/Churned
12860,693,1,54.22,0,Lost/Churned
12861,620,1,68.25,0,Lost/Churned
12862,426,2,984.62,3,At Risk
12863,52,6,2792.55,3,At Risk
12864,138,2,299.57,0,Lost/Churned
12865,26,4,3323.47,1,Promising/New Active
12866,283,3,1227.35,3,At Risk
12867,26,13,7829.26,2,Champions
12868,186,8,2043.76,3,At Risk
12869,682,1,337.67,0,Lost/Churned
12870,375,3,1676.95,3,At Risk
12871,84,3,744.02,3,At Risk
12872,327,12,3283.96,3,At Risk
12873,282,3,2027.3,3,At Risk
12874,385,2,948.42,3,At Risk
12875,143,5,1356.99,3,At Risk
12876,58,4,4081.79,3,At Risk
12877,4,20,2942.14,2,Champions
12878,236,2,854.99,3,At Risk
12879,45,3,573.22,1,Promising/New Active
12880,382,2,640.13,0,Lost/Churned
12881,276,1,298.0,0,Lost/Churned
12882,9,2,1463.04,1,Promising/New Active
12883,25,4,703.47,1,Promising/New Active
12884,88,1,309.05,0,Lost/Churned
12885,63,3,1175.22,3,At Risk
12886,68,2,1378.4,1,Promising/New Active
12887,384,1,222.4,0,Lost/Churned
12888,214,2,354.12,0,Lost/Churned
12889,381,4,385.46,0,Lost/Churned
12890,24,2,706.02,1,Promising/New Active
12891,186,11,840.5,3,At Risk
12892,397,1,263.38,0,Lost/Churned
12893,31,1,176.55,1,Promising/New Active
12894,575,1,157.35,0,Lost/Churned
12895,42,2,372.8,1,Promising/New Active
12897,205,4,514.25,3,At Risk
12898,464,2,296.21000000000004,0,Lost/Churned
12899,414,1,366.4,0,Lost/Churned
12900,422,1,340.33,0,Lost/Churned
12901,9,28,17654.54,2,Champions
12902,265,1,138.68,0,Lost/Churned
12903,429,1,833.53,0,Lost/Churned
12904,18,2,496.06,1,Promising/New Active
12905,577,2,1018.42,3,At Risk
12906,12,5,2919.81,1,Promising/New Active
12907,396,2,508.91,0,Lost/Churned
12908,176,5,1776.0,3,At Risk
12909,40,8,3103.19,2,Champions
12910,23,13,5796.52,2,Champions
12911,552,1,1651.72,0,Lost/Churned
12912,3,5,1662.3,1,Promising/New Active
12913,5,13,6283.24,2,Champions
12914,401,1,223.98,0,Lost/Churned
12915,149,4,975.1,3,At Risk
12916,139,7,4479.73,3,At Risk
12917,128,6,4359.2,3,At Risk
12918,626,1,10953.5,3,At Risk
12919,8,6,1335.19,1,Promising/New Active
12920,17,4,486.64,1,Promising/New Active
12921,9,74,35233.24,2,Champions
12922,161,1,405.38,0,Lost/Churned
12923,64,3,770.42,1,Promising/New Active
12924,88,12,2469.4,3,At Risk
12925,5,3,729.3299999999999,1,Promising/New Active
12926,411,4,1523.97,3,At Risk
12927,395,1,197.31,0,Lost/Churned
12928,35,12,4304.89,2,Champions
12929,312,1,117.85,0,Lost/Churned
12930,78,2,415.8,1,Promising/New Active
12931,22,57,92347.34,2,Champions
12932,539,8,1698.56,3,At Risk
12933,24,8,1636.63,2,Champions
12934,737,1,181.65,0,Lost/Churned
12935,2,15,4243.86,2,Champions
12936,17,4,1063.9,1,Promising/New Active
12937,15,9,3097.61,2,Champions
12938,26,1,114.14,1,Promising/New Active
12939,64,20,25264.8,2,Champions
12940,55,2,899.69,1,Promising/New Active
12941,724,1,377.49,0,Lost/Churned
12942,131,3,675.6,3,At Risk
12943,558,2,496.5,0,Lost/Churned
12944,36,2,604.51,1,Promising/New Active
12945,288,2,900.11,3,At Risk
12946,437,1,324.45,0,Lost/Churned
12947,144,6,1603.99,3,At Risk
12948,16,9,2317.43,2,Champions
12949,31,22,15526.7,2,Champions
12950,2,3,1843.0,1,Promising/New Active
12951,9,15,3213.7200000000003,2,Champions
12952,6,4,1387.79,1,Promising/New Active
12953,10,2,828.8100000000001,1,Promising/New Active
12954,639,1,162.45,0,Lost/Churned
12955,1,11,4757.16,2,Champions
12956,306,4,521.89,3,At Risk
12957,10,13,8706.97,2,Champions
12958,400,2,467.34,0,Lost/Churned
12959,484,1,150.95,0,Lost/Churned
12960,414,4,1322.07,3,At Risk
12961,379,1,211.99,0,Lost/Churned
12962,7,2,266.39,1,Promising/New Active
12963,8,12,3235.79,2,Champions
12964,437,1,132.24,0,Lost/Churned
12965,89,1,769.8100000000001,0,Lost/Churned
12966,10,1,160.18,1,Promising/New Active
12967,358,3,2938.52,3,At Risk
12968,112,1,135.95,0,Lost/Churned
12969,603,1,122.45,0,Lost/Churned
12970,7,10,1453.6,2,Champions
12971,4,116,15704.6,2,Champions
12972,414,4,1161.2,3,At Risk
12973,414,1,385.55,0,Lost/Churned
12974,198,2,408.95,0,Lost/Churned
12975,437,6,2100.09,3,At Risk
12976,212,8,3156.38,3,At Risk
12977,156,4,513.88,3,At Risk
12978,385,5,2502.82,3,At Risk
12979,729,1,517.7,0,Lost/Churned
12980,158,21,16245.78,2,Champions
12981,30,2,372.22,1,Promising/New Active
12982,243,8,2744.81,3,At Risk
12983,598,1,490.08,0,Lost/Churned
12984,19,1,97.5,1,Promising/New Active
12985,1,2,1239.38,1,Promising/New Active
12986,429,10,2729.84,3,At Risk
12987,74,5,1312.21,3,At Risk
12988,292,1,505.82,0,Lost/Churned
12989,3,33,13551.75,2,Champions
12990,31,7,955.5,1,Promising/New Active
12991,23,3,764.82,1,Promising/New Active
12992,725,1,93.35,0,Lost/Churned
12993,23,8,1259.63,1,Promising/New Active
12994,4,3,974.42,1,Promising/New Active
12995,85,1,211.32,0,Lost/Churned
12996,376,1,355.5,0,Lost/Churned
12997,22,8,2110.91,2,Champions
12998,493,3,920.08,3,At Risk
12999,196,3,455.88,0,Lost/Churned
13000,107,4,1032.5,3,At Risk
13001,4,33,24042.65,2,Champions
13002,318,3,414.13,0,Lost/Churned
13003,106,3,149.05,0,Lost/Churned
13004,12,36,11650.85,2,Champions
13005,174,4,999.68,3,At Risk
13006,56,1,81.57,0,Lost/Churned
13007,580,1,175.25,0,Lost/Churned
13008,323,3,612.13,3,At Risk
13009,673,1,234.0,0,Lost/Churned
13010,374,2,330.12,0,Lost/Churned
13011,372,1,50.55,0,Lost/Churned
13012,9,11,2957.83,2,Champions
13013,1,29,11097.43,2,Champions
13014,11,11,5381.08,2,Champions
13015,53,11,6579.78,2,Champions
13016,73,3,789.89,1,Promising/New Active
13017,7,1,204.0,1,Promising/New Active
13018,16,35,9763.16,2,Champions
13019,379,6,1229.95,3,At Risk
13020,563,2,618.96,0,Lost/Churned
13021,4,17,4887.24,2,Champions
13022,430,1,65.3,0,Lost/Churned
13023,64,3,1449.03,3,At Risk
13024,471,2,555.87,0,Lost/Churned
13025,732,1,323.39,0,Lost/Churned
13026,1,9,1733.08,2,Champions
13027,114,19,17239.2,2,Champions
13028,23,2,661.3199999999999,1,Promising/New Active
13029,31,5,1927.3,1,Promising/New Active
13030,11,2,752.4399999999999,1,Promising/New Active
13031,407,5,3292.84,3,At Risk
13032,52,9,2815.96,2,Champions
13033,357,2,220.55,0,Lost/Churned
13034,55,3,756.82,1,Promising/New Active
13035,74,3,1364.2,3,At Risk
13036,685,1,307.1,0,Lost/Churned
13037,138,12,3914.95,3,At Risk
13038,80,3,908.46,3,At Risk
13039,584,4,1010.73,3,At Risk
13040,9,2,676.99,1,Promising/New Active
13041,451,4,799.13,3,At Risk
13042,598,3,1488.59,3,At Risk
13043,273,1,516.42,0,Lost/Churned
13044,291,11,4848.05,3,At Risk
